Sr.,Stock Name,Symbol,close,%_change,volume,Add Column
"76","Axis Silver ETF","AXISILVER","236.29","1.39%","8,08,947",""
"77","Mirae Asset Gold ETF","GOLDETF","144.74","1.39%","12,55,568",""
"78","Silver Touch Technologies Ltd","SILVERTUC","163.42","1.37%","9,29,998",""
"79","Wonder Electricals Ltd","WEL","105.59","1.37%","6,63,408",""
"80","Sai Life Sciences Ltd","SAILIFE","1,069.45","1.36%","13,68,498",""
"81","Capri Global Capital Limited","CGCL","186.18","1.36%","25,55,327",""
"82","Aditya Birla Sun Life Silver ETF","SILVER","237.04","1.34%","12,95,606",""
"83","L T Foods Ltd","LTFOODS","430.65","1.31%","5,42,946",""
"84","Sona BLW Precision Forgings Ltd","SONACOMS","607.25","1.26%","28,65,734",""
"85","Infosys Limited","INFY","1,181.8","1.22%","1,22,05,669",""
"86","Man Infraconstruction Limited","MANINFRA","120.35","1.22%","40,71,900",""
"87","Ideaforge Technology Ltd","IDEAFORGE","609.2","1.2%","17,10,079",""
"88","Adani Power Limited","ADANIPOWER","221.85","1.17%","6,75,84,204",""
"89","Mphasis Limited","MPHASIS","2,276.7","1.16%","19,95,620",""
"90","Tata Chemicals Limited","TATACHEM","809","1.16%","64,44,674",""
"91","Piramal Pharma Ltd","PPLPHARMA","161.87","1.07%","34,40,783",""
"92","Ind-swift Laboratories Limited","INDSWFTLAB","137.54","1.07%","5,32,139",""
"93","Oswal Pumps Ltd","OSWALPUMPS","412.35","1.04%","7,95,541",""
"94","Aarti Industries Limited","AARTIIND","507.5","1.03%","14,93,230",""
"95","Himadri Speciality Chemical Limited","HSCL","607.75","1.02%","1,32,60,089",""
"96","KRN Heat Exchanger and Refrigeration Ltd","KRN","1,295.35","0.97%","6,23,430",""
"97","Shreeji Shipping Global Ltd","SHREEJISPG","405","0.96%","6,87,394",""
"98","Hindustan Oil Exploration Company Limited","HINDOILEXP","158.6","0.96%","11,23,956",""
"99","Tech Mahindra Limited","TECHM","1,473.5","0.94%","26,35,309",""
"100","Navin Fluorine International Limited","NAVINFLUOR","6,821","0.92%","23,22,243",""
"101","Indegene Ltd","INDGN","499.75","0.87%","5,64,840",""
"102","CreditAccess Grameen Ltd","CREDITACC","1,300.1","0.85%","5,10,019",""
"103","Netweb Technologies India Ltd","NETWEB","4,064.8","0.84%","12,58,981",""
"104","Eid Parry India Limited","EIDPARRY","844","0.81%","6,87,091",""
"105","DCX Systems Ltd","DCXINDIA","200.97","0.81%","8,28,213",""
"106","Bajel Projects Ltd","BAJEL","188.32","0.78%","5,08,103",""
"107","The Federal Bank  Limited","FEDERALBNK","286.95","0.77%","1,39,39,720",""
"108","Bajaj Finance Limited","BAJFINANCE","937","0.75%","2,73,64,272",""
"109","Redington (india) Limited","REDINGTON","215.87","0.74%","69,34,625",""
