Sr.,Stock Name,Symbol,close,%_change,volume,Add Column
"323","Sandur Manganese & Iron Ores Ltd","SANDUMA","210.61","-1.85%","13,48,618",""
"324","Physicswallah Ltd","PWL","108.58","-1.86%","17,87,149",""
"325","Jamna Auto Industries Limited","JAMNAAUTO","121.56","-1.87%","14,04,511",""
"326","Info Edge (india) Limited","NAUKRI","972.85","-1.9%","13,47,139",""
"327","AWL Agri Business Ltd","AWL","196.37","-1.9%","25,37,711",""
"328","Indian Railway Catering & Tourism Corporation Ltd","IRCTC","539.55","-1.92%","10,74,426",""
"329","Park Medi World Ltd","PARKHOSPS","230.51","-1.96%","5,95,262",""
"330","Share India Securities Ltd","SHAREINDIA","137.45","-1.96%","5,32,150",""
"331","Trent Limited","TRENT","4,144.6","-1.98%","5,66,859",""
"332","L&T Finance Ltd","LTF","279.73","-1.99%","37,78,162",""
"333","Larsen & Toubro Limited","LT","4,014","-2%","25,69,328",""
"334","TATA Consumer Products Ltd","TATACONSUM","1,144.6","-2%","14,33,160",""
"335","Icici Prudential Life Insurance Company Limited","ICICIPRULI","513.85","-2%","11,23,792",""
"336","Premier Energies Ltd","PREMIERENE","1,018.15","-2.02%","20,43,351",""
"337","Shriram Finance Ltd","SHRIRAMFIN","937.35","-2.04%","59,90,764",""
"338","GK Energy Ltd","GKENERGY","127.38","-2.05%","10,61,206",""
"339","Aditya Birla Lifestyle Brands Ltd","ABLBL","102.78","-2.05%","6,00,751",""
"340","Central Mine Planning & Design Institute Ltd","CMPDI","181.55","-2.06%","27,50,990",""
"341","Zydus Lifesciences Ltd","ZYDUSLIFE","891.9","-2.08%","9,86,154",""
"342","Ultratech Cement Limited","ULTRACEMCO","11,586","-2.09%","7,19,688",""
"343","LG Electronics India Ltd","LGEINDIA","1,593","-2.09%","5,31,899",""
"344","Tata Steel Limited","TATASTEEL","211.36","-2.09%","2,48,94,783",""
"345","Paras Defence and Space Technologies Ltd","PARAS","794.25","-2.1%","11,42,225",""
"346","Godrej Consumer Products Limited","GODREJCP","1,067.1","-2.11%","17,14,183",""
"347","Samhi Hotels Ltd","SAMHI","156.27","-2.14%","7,76,099",""
"348","Bharat Dynamics Ltd","BDL","1,364.1","-2.15%","13,49,217",""
"349","Axis Bank Limited","AXISBANK","1,268.3","-2.17%","1,64,81,853",""
"350","Usha Martin Limited","USHAMART","451.8","-2.17%","25,86,832",""
"351","Hubtown Limited","HUBTOWN","202.82","-2.17%","5,39,266",""
"352","Jai Corp Limited","JAICORPLTD","115.98","-2.18%","5,22,173",""
"353","Diamond Power Infrastructure Ltd","DIACABS","157.8","-2.19%","21,25,398",""
"354","Ashok Leyland Limited","ASHOKLEY","162.09","-2.2%","2,20,15,141",""
"355","Electronics Mart India Ltd","EMIL","124.34","-2.22%","16,46,456",""
"356","Mishra Dhatu Nigam Ltd","MIDHANI","389.9","-2.23%","10,59,648",""
"357","Devyani International Ltd","DEVYANI","124.73","-2.24%","90,64,306",""
"358","Titagarh Rail Systems Ltd","TITAGARH","768.4","-2.27%","6,38,508",""
"359","Cochin Shipyard Ltd","COCHINSHIP","1,733.4","-2.28%","19,43,753",""
"360","Godawari Power And Ispat Limited","GPIL","296.3","-2.28%","29,70,602",""
"361","Ambuja Cements Limited","AMBUJACEM","444.2","-2.29%","33,22,936",""
"362","Bank Of India Ltd","BANKINDIA","139.87","-2.33%","1,05,12,024",""
"363","Bajaj Consumer Care Ltd","BAJAJCON","450.45","-2.36%","8,41,239",""
"364","Aequs Ltd","AEQUS","187.85","-2.36%","17,35,507",""
"365","Ashapura Minechem Limited","ASHAPURMIN","631.3","-2.4%","5,46,660",""
"366","REC Ltd","RECLTD","354.3","-2.54%","90,31,675",""
"367","Aegis Vopak Terminals Ltd","AEGISVOPAK","189.62","-2.55%","6,23,562",""
"368","City Union Bank Limited","CUB","270.09","-2.62%","16,98,427",""
"369","Central Depository Services Ltd","CDSL","1,272","-2.63%","24,29,730",""
"370","HDFC Asset Management Company Ltd","HDFCAMC","2,712.6","-2.7%","12,55,481",""
"371","Indian Bank Ltd","INDIANB","851.85","-2.71%","92,26,296",""
"372","PCBL Ltd","PCBL","290.58","-2.73%","19,79,147",""
"373","Hindustan Unilever Limited","HINDUNILVR","2,250.9","-2.74%","44,34,979",""
"374","Hindalco Industries Limited","HINDALCO","1,038","-2.74%","43,92,857",""
"375","Eternal Ltd","ETERNAL","247.03","-2.76%","7,27,00,438",""
"376","United Spirits Ltd","UNITDSPR","1,325.6","-2.77%","10,77,576",""
"377","Chambal Fertilizers & Chemicals Limited","CHAMBLFERT","438.05","-2.77%","8,71,474",""
"378","Swan Corp Ltd","SWANCORP","334.45","-2.78%","9,37,820",""
"379","Hindustan Zinc Limited","HINDZINC","595.95","-2.79%","66,46,054",""
"380","Gujarat Gas Limited","GUJGASLTD","380.05","-2.8%","5,03,932",""
"381","Vikram Solar Ltd","VIKRAMSOLR","219.39","-2.82%","18,41,071",""
"382","Pace Digitek Ltd","PACEDIGITK","170.76","-2.86%","12,95,306",""
"383","Computer Age Management Services Ltd","CAMS","738.6","-2.89%","27,17,763",""
"384","Mahindra & Mahindra Financial Services Limited","M&MFIN","310.7","-2.97%","55,88,528",""
"385","Voltas Limited","VOLTAS","1,430.4","-3.01%","12,59,835",""
"386","Sonata Software Limited","SONATSOFTW","255.03","-3.03%","6,90,569",""
"387","Pg Electroplast Limited","PGEL","534","-3.04%","46,43,646",""
"388","Blue Star Limited","BLUESTARCO","1,781","-3.06%","5,75,535",""
"389","Jindal Saw Limited","JINDALSAW","222.75","-3.07%","38,56,358",""
"390","Welspun Enterprises Limited","WELENT","523.25","-3.12%","11,48,319",""
"391","Apl Apollo Tubes Limited","APLAPOLLO","1,905","-3.13%","7,24,377",""
"392","Tata Motors Passenger Vehicles Ltd","TMPV","341.55","-3.16%","1,26,70,807",""
"393","Dabur India Limited","DABUR","441.5","-3.18%","14,48,773",""
"394","Dcb Bank Limited","DCBBANK","186.76","-3.23%","16,97,424",""
"395","Kajaria Ceramics Limited","KAJARIACER","1,187.65","-3.3%","14,26,089",""
"396","Mangalore Refinery And Petrochemicals Limited","MRPL","167.55","-3.31%","69,96,938",""
"397","Canara HSBC Life Insurance Company Ltd","CANHLIFE","141.3","-3.33%","10,90,077",""
"398","Adani Total Gas Ltd","ATGL","634.7","-3.39%","32,71,646",""
"399","Stallion India Fluorochemicals Ltd","STALLION","150.04","-3.39%","11,75,241",""
"400","R R Kabel Ltd","RRKABEL","1,571","-3.42%","12,59,192",""
"401","IKIO Lighting Ltd","IKIO","157.95","-3.45%","93,18,435",""
"402","Ratnaveer Precision Engineering Ltd","RATNAVEER","162.9","-3.47%","17,90,635",""
"403","Insolation Energy Ltd","INA","147.18","-3.5%","7,03,372",""
"404","Power Finance Corporation Limited","PFC","448.4","-3.52%","94,36,314",""
"405","Enviro Infra Engineers Ltd","EIEL","211.94","-3.61%","20,45,173",""
"406","Hindustan Copper Limited","HINDCOPPER","534.85","-3.67%","43,84,552",""
"407","Apollo Tyres Limited","APOLLOTYRE","408.4","-3.71%","12,11,183",""
"408","Sun Pharma Advanced Research Company Limited","SPARC","143.04","-3.72%","91,47,904",""
"409","Five-Star Business Finance Ltd","FIVESTAR","479.55","-3.73%","9,67,082",""
"410","Knr Constructions Limited","KNRCON","125.13","-3.81%","42,94,633",""
"411","The Jammu & Kashmir Bank Limited","J&KBANK","129.02","-4.17%","39,66,446",""
"412","Rain Industries Limited","RAIN","126.2","-4.19%","32,45,503",""
"413","Graphite India Limited","GRAPHITE","707.1","-4.52%","20,36,387",""
"414","Yatra Online Ltd","YATRA","105.54","-4.61%","25,41,315",""
"415","Garden Reach Shipbuilders & Engineers Ltd","GRSE","2,930.8","-4.62%","40,07,073",""
"416","Websol Energy System Limited","WEBELSOLAR","110.66","-4.68%","1,49,10,671",""
"417","Aye Finance Ltd","AYE","132.43","-5.1%","12,71,891",""
"418","Tanla Solutions Limited","TANLA","511.95","-5.19%","19,25,967",""
"419","OMNI","OMNI","363.41","-5.29%","14,29,782",""
"420","Adani Energy Solutions Ltd","ADANIENSOL","1,342.25","-5.35%","65,47,437",""
"421","Marsons Ltd","MARSONS","154.2","-5.71%","8,81,467",""
"422","Greenply Industries Limited","GREENPLY","267.35","-6.01%","50,16,691",""
"423","Ravindra Energy Ltd","RELTD","142.91","-6.01%","5,46,196",""
"424","Fino Payments Bank Ltd","FINOPB","126.22","-6.06%","10,63,898",""
"425","Moil Limited","MOIL","310.9","-6.79%","18,45,018",""
"426","Go Fashion (India) Ltd","GOCOLORS","281.96","-7.43%","10,61,912",""
"427","Edelweiss Financial Services Limited","EDELWEISS","114.25","-7.82%","2,32,11,421",""
"428","National Aluminium Company Limited","NATIONALUM","399.3","-7.85%","1,76,24,227",""
"429","KFin Technologies Ltd","KFINTECH","895.7","-8.35%","68,38,867",""
"430","Heg Limited","HEG","596.05","-9.47%","58,40,973",""
"431","Emmvee Photovoltaic Power Ltd","EMMVEE","262.4","-9.78%","1,30,98,890",""
"432","Waaree Energies Ltd","WAAREEENER","3,118.8","-10.97%","81,09,147",""
"433","Vedanta Limited","VEDL","271.55","-64.9%","7,38,70,853",""
